ID,train_number,planned_arrival,planned_departure,planned_platform,planned_status,category_train,train,path,eva_nr,station_name,station_state,station_city,station_zipcode,station_long,station_lat,station_category,changed_arrival,changed_platform_arrival,changed_departure,changed_platform_departure,message_status,priority,info,arrival_hidden,departure_hidden,arrival_path,departure_path,arrival_status,departure_status,arrival_delay_m,departure_delay_m
-2301911496079253632-2602120422-2,7701,2602120425,2602120425,3,,S,S1,Plochingen,8000508,Altbach,Baden-Württemberg,Altbach,73776,9.382434033,48.72031354,3,2602120425,,2602120425,,h,1,Bauarbeiten,,,,,,,0.0,0.0
1781534358873638088-2602120437-2,7101,2602120440,2602120440,3,,S,S1,Plochingen,8000508,Altbach,Baden-Württemberg,Altbach,73776,9.382434033,48.72031354,3,2602120441,,2602120442,,h,1,Bauarbeiten,,,,,,,1.0,2.0
7484030838628378431-2602120452-2,7703,2602120455,2602120455,3,,S,S1,Plochingen,8000508,Altbach,Baden-Württemberg,Altbach,73776,9.382434033,48.72031354,3,2602120456,,2602120456,,h,1,Bauarbeiten,,,,,,,1.0,1.0
-9020622847777394381-2602120437-3,7501,2602120442,2602120443,3,,S,S5,Bietigheim-Bissingen|Tamm(Württ),8000630,Asperg,Baden-Württemberg,Asperg,71679,9.147977466,48.90725609,4,2602120452,,2602120453,,h,2,Störung,,,,,,,10.0,10.0
8242933012542256606-2602120441-1,7301,,2602120441,,,S,S3,,8000016,Backnang,Baden-Württemberg,Backnang,71522,9.425986107,48.94264844,3,,,2602120441,,,,,,,,,,,0.0,0.0
9124798165350701033-2602120423-5,88631,2602120450,2602120451,3,,ARV,RE90,Stuttgart Hbf|Stuttgart-Bad Cannstatt|Waiblingen|Winnenden,8000016,Backnang,Baden-Württemberg,Backnang,71522,9.425986107,48.94264844,3,2602120451,,2602120451,,,,,,,,,,,1.0,0.0
4059477772738430465-2602120455-2,7401,2602120457,2602120457,2,,S,S4,Marbach(Neckar),8000873,Benningen (Neckar),Baden-Württemberg,Benningen am Neckar,71726,9.244299075,48.94379773,5,2602120457,,2602120457,,h,2,Störung,,,,,,,0.0,0.0
8312618108729256880-2602120348-6,28361,2602120400,2602120400,2,,S,S2,Schorndorf|Weiler(Rems)|Winterbach(b Schorndorf)|Geradstetten|Grunbach,8000934,Beutelsbach,Baden-Württemberg,Weinstadt,71384,9.38551589,48.81038925,5,2602120400,,2602120401,,,,,,,,,,,0.0,1.0
-1949358468766091644-2602120417-12,19541,2602120453,2602120505,3,,RE,MEX17,Pforzheim Hbf|Eutingen(Baden)|Niefern|Enzberg|Mühlacker|Mühlacker Rößlesweg|Illingen(Württ)|Vaihingen(Enz)|Sersheim|Sachsenheim|Ellental,8000038,Bietigheim-Bissingen,Baden-Württemberg,Bietigheim-Bissingen,74321,9.137217396,48.94794988,2,2602120453,,2602120505,,h,2,Bauarbeiten,,,,,,,0.0,0.0
-9020622847777394381-2602120437-1,7501,,2602120437,,,S,S5,,8000038,Bietigheim-Bissingen,Baden-Württemberg,Bietigheim-Bissingen,74321,9.137217396,48.94794988,2,,,2602120446,5,h,2,Störung,,,,,,,0.0,9.0
3282817060879740599-2602120429-7,19203,2602120455,2602120457,8,,RE,MEX18,Heilbronn Hbf|Nordheim(Württ)|Lauffen(Neckar)|Kirchheim(Neckar)|Walheim(Württ)|Besigheim,8000038,Bietigheim-Bissingen,Baden-Württemberg,Bietigheim-Bissingen,74321,9.137217396,48.94794988,2,2602120458,,2602120501,,,,,,,,,,,3.0,4.0
-1886745939912454319-2602120438-3,55900,2602120459,2602120501,10,,ARV,RE8,Stuttgart Hbf|Ludwigsburg,8000038,Bietigheim-Bissingen,Baden-Württemberg,Bietigheim-Bissingen,74321,9.137217396,48.94794988,2,2602120459,,2602120501,,h,2,Information,,,,,,,0.0,0.0
-5919247800237366863-2602120416-6,28360,2602120430,2602120430,3,,S,S1,Herrenberg|Nufringen|Gärtringen|Ehningen(b Böblingen)|Hulb,8001055,Böblingen,Baden-Württemberg,Böblingen,71034,9.004531864,48.68784871,3,2602120430,,2602120431,,h,1,Bauarbeiten,,,,,,,0.0,1.0
5411763714021984948-2602120433-7,7601,2602120454,2602120454,3,,S,S6,Weil der Stadt|Malmsheim|Renningen|Rutesheim|Leonberg|Höfingen,8001476,Ditzingen,Baden-Württemberg,Ditzingen,71254,9.067095186,48.82358726,4,2602120454,,2602120454,,,,,,,,,,,0.0,0.0
2884405162672083910-2602120441-5,7002,2602120451,2602120451,2,,S,S60,Stuttgart-Zuffenhausen|Neuwirtshaus(Porscheplatz)|Korntal|Weilimdorf,8001476,Ditzingen,Baden-Württemberg,Ditzingen,71254,9.067095186,48.82358726,4,2602120451,,2602120451,,,,,,,,,,,0.0,0.0
-7074048190611233336-2602120348-7,28369,2602120409,2602120409,3,,S,S6,Weil der Stadt|Malmsheim|Renningen|Rutesheim|Leonberg|Höfingen,8001476,Ditzingen,Baden-Württemberg,Ditzingen,71254,9.067095186,48.82358726,4,2602120409,,2602120410,,,,,,,,,,,0.0,1.0
-3405121308737868986-2602120356-20,28363,2602120454,2602120455,1,,S,S3,Backnang|Maubach|Nellmersbach|Winnenden|Schwaikheim|Neustadt-Hohenacker|Waiblingen|Fellbach|Stuttgart-Bad Cannstatt|Stuttgart Hbf (tief)|Stuttgart Stadtmitte|Stuttgart Feuersee|Stuttgart Schwabstr.|Stuttgart Universität|Stuttgart-Österfeld|Stuttgart-Vaihingen|Stuttgart-Rohr|Oberaichen|Leinfelden,8001650,Echterdingen,Baden-Württemberg,Echterdingen,70771,9.169307175,48.69214787,4,2602120455,,2602120455,,,,,,,,,,,1.0,0.0
7889952835218125235-2602120446-4,7102,2602120455,2602120455,1,,S,S1,Herrenberg|Nufringen|Gärtringen,8001689,Ehningen (b Böblingen),Baden-Württemberg,Ehningen,71139,8.944310368,48.66275549,4,2602120455,,2602120455,,h,1,Bauarbeiten,,,,,,,0.0,0.0
-5919247800237366863-2602120416-4,28360,2602120425,2602120425,1,,S,S1,Herrenberg|Nufringen|Gärtringen,8001689,Ehningen (b Böblingen),Baden-Württemberg,Ehningen,71139,8.944310368,48.66275549,4,2602120425,,2602120425,,h,1,Bauarbeiten,,,,,,,0.0,0.0
