ID,train_number,planned_arrival,planned_departure,planned_platform,planned_status,category_train,train,path,eva_nr,station_name,station_state,station_city,station_zipcode,station_long,station_lat,station_category,changed_arrival,changed_platform_arrival,changed_departure,changed_platform_departure,message_status,priority,info,arrival_hidden,departure_hidden,arrival_path,departure_path,arrival_status,departure_status,arrival_delay_m,departure_delay_m
1781534358873638088-2603240437-2,7101,2603240440,2603240440,3,,S,S1,Plochingen,8000508,Altbach,Baden-Württemberg,Altbach,73776,9.382434033,48.72031354,3,2603240440,,2603240441,,h,1,Bauarbeiten,,,,,,,0.0,1.0
-2301911496079253632-2603240422-2,7701,2603240425,2603240425,3,,S,S1,Plochingen,8000508,Altbach,Baden-Württemberg,Altbach,73776,9.382434033,48.72031354,3,2603240425,,2603240425,,h,1,Bauarbeiten,,,,,,,0.0,0.0
7484030838628378431-2603240452-2,7703,2603240455,2603240455,3,,S,S1,Plochingen,8000508,Altbach,Baden-Württemberg,Altbach,73776,9.382434033,48.72031354,3,2603240455,,2603240455,,h,1,Bauarbeiten,,,,,,,0.0,0.0
-9020622847777394381-2603240437-3,7501,2603240442,2603240443,3,,S,S5,Bietigheim-Bissingen|Tamm(Württ),8000630,Asperg,Baden-Württemberg,Asperg,71679,9.147977466,48.90725609,4,2603240458,,2603240459,,h,1,Störung,,,,,,,16.0,16.0
8242933012542256606-2603240441-1,7301,,2603240441,,,S,S3,,8000016,Backnang,Baden-Württemberg,Backnang,71522,9.425986107,48.94264844,3,,,2603240442,,h,1,Bauarbeiten,,,,,,,0.0,1.0
4059477772738430465-2603240455-2,7401,2603240457,2603240457,2,,S,S4,Marbach(Neckar),8000873,Benningen (Neckar),Baden-Württemberg,Benningen am Neckar,71726,9.244299075,48.94379773,5,2603240459,,2603240500,,h,1,Bauarbeiten,,,,,,,2.0,3.0
8312618108729256880-2603240348-6,28361,2603240400,2603240400,2,,S,S2,Schorndorf|Weiler(Rems)|Winterbach(b Schorndorf)|Geradstetten|Grunbach,8000934,Beutelsbach,Baden-Württemberg,Weinstadt,71384,9.38551589,48.81038925,5,2603240400,,2603240400,,h,1,Bauarbeiten,,,,,,,0.0,0.0
-1949358468766091644-2603240417-11,19541,2603240453,2603240505,3,,RE,MEX17,Pforzheim Hbf|Eutingen(Baden)|Niefern|Mühlacker|Mühlacker Rößlesweg|Illingen(Württ)|Vaihingen(Enz)|Sersheim|Sachsenheim|Ellental,8000038,Bietigheim-Bissingen,Baden-Württemberg,Bietigheim-Bissingen,74321,9.137217396,48.94794988,2,2603240453,,2603240507,,h,2,Information,,,,,,,0.0,2.0
6839500523111524784-2603240407-3,19210,2603240422,2603240423,10,,RE,MEX18,Stuttgart Hbf|Ludwigsburg,8000038,Bietigheim-Bissingen,Baden-Württemberg,Bietigheim-Bissingen,74321,9.137217396,48.94794988,2,2603240422,,2603240424,,,,,,,,,,,0.0,1.0
-9020622847777394381-2603240437-1,7501,,2603240437,,,S,S5,,8000038,Bietigheim-Bissingen,Baden-Württemberg,Bietigheim-Bissingen,74321,9.137217396,48.94794988,2,,,2603240452,6,h,1,Störung,,,,,,,0.0,15.0
