ID,train_number,planned_arrival,planned_departure,planned_platform,planned_status,category_train,train,path,eva_nr,station_name,station_state,station_city,station_zipcode,station_long,station_lat,station_category,changed_arrival,changed_platform_arrival,changed_departure,changed_platform_departure,message_status,priority,info,arrival_hidden,departure_hidden,arrival_path,departure_path,arrival_status,departure_status,arrival_delay_m,departure_delay_m
-4904342913615484814-2508172025-8,7162,2508172049,2508172049,4,,S,1,Stuttgart Hbf|Stuttgart-Bad Cannstatt|Stuttgart-Untertürkheim|Esslingen-Mettingen|Esslingen(Neckar)|Oberesslingen|Esslingen-Zell,8000508,Altbach,Baden-Württemberg,Altbach,73776,9.382434033,48.72031354,3,2508172051,,2508172051,,,,,,,,,,,2.0,2.0
904272065433025864-2508172020-6,7165,2508172037,2508172037,3,,S,1,Kirchheim(Teck)|Kirchheim(Teck)-Ötlingen|Wendlingen(Neckar)|Wernau(Neckar)|Plochingen,8000508,Altbach,Baden-Württemberg,Altbach,73776,9.382434033,48.72031354,3,2508172039,,2508172039,,,,,,,,,,,2.0,2.0
-8339144586973292546-2508171955-8,7160,2508172019,2508172019,4,,S,1,Stuttgart Hbf|Stuttgart-Bad Cannstatt|Stuttgart-Untertürkheim|Esslingen-Mettingen|Esslingen(Neckar)|Oberesslingen|Esslingen-Zell,8000508,Altbach,Baden-Württemberg,Altbach,73776,9.382434033,48.72031354,3,2508172018,,2508172019,,,,,,,,,,,-1.0,0.0
-6930448942701268015-2508171950-6,7163,2508172007,2508172007,3,,S,1,Kirchheim(Teck)|Kirchheim(Teck)-Ötlingen|Wendlingen(Neckar)|Wernau(Neckar)|Plochingen,8000508,Altbach,Baden-Württemberg,Altbach,73776,9.382434033,48.72031354,3,2508172007,,2508172007,,,,,,,,,,,0.0,0.0
-5752778913722820927-2508171957-7,7560,2508172017,2508172017,4,,S,5,Stuttgart Hbf|Stuttgart Nord|Stuttgart-Feuerbach|Stuttgart-Zuffenhausen|Kornwestheim Pbf|Ludwigsburg,8000630,Asperg,Baden-Württemberg,Asperg,71679,9.147977466,48.90725609,4,2508172017,,2508172018,,,,,,,,,,,0.0,1.0
-8846636026834830888-2508172037-3,7565,2508172042,2508172043,3,,S,5,Bietigheim-Bissingen|Tamm(Württ),8000630,Asperg,Baden-Württemberg,Asperg,71679,9.147977466,48.90725609,4,2508172043,,2508172043,,,,,,,,,,,1.0,0.0
-6268040799960483129-2508172007-3,7563,2508172012,2508172013,3,,S,5,Bietigheim-Bissingen|Tamm(Württ),8000630,Asperg,Baden-Württemberg,Asperg,71679,9.147977466,48.90725609,4,2508172013,,2508172013,,,,,,,,,,,1.0,0.0
5605939437382144784-2508172027-7,7562,2508172047,2508172047,4,,S,5,Stuttgart Hbf|Stuttgart Nord|Stuttgart-Feuerbach|Stuttgart-Zuffenhausen|Kornwestheim Pbf|Ludwigsburg,8000630,Asperg,Baden-Württemberg,Asperg,71679,9.147977466,48.90725609,4,2508172047,,2508172047,,,,,,,,,,,0.0,0.0
-5837249392223184005-2508171838-18,88626,2508172036,2508172038,4,,RE,90,Nürnberg Hbf|Roßtal|Heilsbronn|Wicklesgreuth|Ansbach|Leutershausen-Wiedersbach|Dombühl|Schnelldorf|Crailsheim|Eckartshausen-Ilshofen|Schwäbisch Hall-Hessental|Gaildorf West|Fichtenberg|Fornsbach|Murrhardt|Sulzbach(Murr)|Oppenweiler(Württ),8000016,Backnang,Baden-Württemberg,Backnang,71522,9.425986107,48.94264844,3,2508172049,,2508172050,,,,,,,,,,,13.0,12.0
-7578975115161805427-2508172041-1,7365,,2508172041,,,S,3,,8000016,Backnang,Baden-Württemberg,Backnang,71522,9.425986107,48.94264844,3,,,2508172041,,,,,,,,,,,0.0,0.0
1871886733634394677-2508171948-4,17560,2508172006,,4,,MEX,,Murrhardt|Sulzbach(Murr)|Oppenweiler(Württ),8000016,Backnang,Baden-Württemberg,Backnang,71522,9.425986107,48.94264844,3,2508172006,,,,,,,,,,,,,0.0,0.0
-3284422952595419760-2508172025-8,7360,2508172048,,5,,S,,Fellbach|Waiblingen|Neustadt-Hohenacker|Schwaikheim|Winnenden|Nellmersbach|Maubach,8000016,Backnang,Baden-Württemberg,Backnang,71522,9.425986107,48.94264844,3,2508172050,,,,,,,,,,,,,2.0,0.0
3013064575136603376-2508172011-1,7363,,2508172011,,,S,3,,8000016,Backnang,Baden-Württemberg,Backnang,71522,9.425986107,48.94264844,3,,,2508172011,,,,,,,,,,,0.0,0.0
-5248477185843077062-2508172033-1,7465,,2508172033,,,S,4,,8000016,Backnang,Baden-Württemberg,Backnang,71522,9.425986107,48.94264844,3,,,2508172033,,,,,,,,,,,0.0,0.0
-802738682577183597-2508172024-1,17553,,2508172024,,,MEX,90,,8000016,Backnang,Baden-Württemberg,Backnang,71522,9.425986107,48.94264844,3,,,2508172024,,h,2,Bauarbeiten,,,,,,,0.0,0.0
-6610276676854069199-2508172003-1,7463,,2508172003,,,S,4,,8000016,Backnang,Baden-Württemberg,Backnang,71522,9.425986107,48.94264844,3,,,2508172004,,,,,,,,,,,0.0,1.0
