,area_m2,length_m
count,38.0,38.0
mean,241.46905746249132,137.30592911947312
std,411.22330925935296,131.8515180989274
min,0.0,31.74943190716505
25%,96.7255250426256,81.81136677922775
50%,111.47580275899406,85.180426410647
75%,207.9521338509008,156.4416742511166
max,2031.403918864709,688.5642278883686
