eva_nr,station_name,line,train_number,ID,planned_arrival,changed_arrival,arrival_delay_m,planned_departure,changed_departure,departure_delay_m,priority,planned_platform,changed_platform_arrival,path,info,arrival_status,departure_status,arrival_path,departure_path,message_status,train_route_id,train_line_number,status_train,arrival_weekday,departure_weekday
8000508,Altbach,S1,7176,1617964573784399284-2412082316-24,2024-12-09 00:19:00,2024-12-09 00:19:00,0,2024-12-09 00:19:00,2024-12-09 00:20:00,1,,4,nan,Herrenberg|Nufringen|Gärtringen|Ehningen(b Böblingen)|Hulb|Böblingen|Goldberg(Württ)|Stuttgart-Rohr|Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart-Bad Cannstatt|Stuttgart Neckarpark|Stuttgart-Untertürkheim|Stuttgart-Obertürkheim|Esslingen-Mettingen|Esslingen(Neckar)|Oberesslingen|Esslingen-Zell,,,,,,,1617964573784399284-2412082316,24,,Monday,Monday
8000508,Altbach,S1,7178,4035296386850578453-2412082346-24,2024-12-09 00:49:00,2024-12-09 00:49:00,0,2024-12-09 00:49:00,2024-12-09 00:50:00,1,,4,nan,Herrenberg|Nufringen|Gärtringen|Ehningen(b Böblingen)|Hulb|Böblingen|Goldberg(Württ)|Stuttgart-Rohr|Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart-Bad Cannstatt|Stuttgart Neckarpark|Stuttgart-Untertürkheim|Stuttgart-Obertürkheim|Esslingen-Mettingen|Esslingen(Neckar)|Oberesslingen|Esslingen-Zell,,,,,,,4035296386850578453-2412082346,24,,Monday,Monday
8000630,Asperg,S5,7579,8164387048971779418-2412090007-3,2024-12-09 00:12:00,2024-12-09 00:12:00,0,2024-12-09 00:13:00,2024-12-09 00:13:00,0,,3,nan,Bietigheim-Bissingen|Tamm(Württ),,,,,,,8164387048971779418-2412090007,3,,Monday,Monday
8000630,Asperg,S5,7576,-3066283384668269754-2412082352-10,2024-12-09 00:17:00,2024-12-09 00:18:00,1,2024-12-09 00:17:00,2024-12-09 00:19:00,2,,4,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord|Stuttgart-Feuerbach|Stuttgart-Zuffenhausen|Kornwestheim Pbf|Ludwigsburg,,,,,,,-3066283384668269754-2412082352,10,,Monday,Monday
8000630,Asperg,S5,7578,7234757278039714020-2412090022-10,2024-12-09 00:47:00,2024-12-09 00:47:00,0,2024-12-09 00:47:00,2024-12-09 00:48:00,1,,4,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord|Stuttgart-Feuerbach|Stuttgart-Zuffenhausen|Kornwestheim Pbf|Ludwigsburg,,,,,,,7234757278039714020-2412090022,10,,Monday,Monday
8000016,Backnang,S3,7390,-4157605704322389712-2412090000-18,2024-12-09 00:48:00,2024-12-09 00:48:00,0,,,0,,5,nan,Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart-Bad Cannstatt|Stuttgart Nürnberger Str.|Stuttgart-Sommerrain|Fellbach|Waiblingen|Neustadt-Hohenacker|Schwaikheim|Winnenden|Nellmersbach|Maubach,,,,,,,-4157605704322389712-2412090000,18,,Monday,
8000016,Backnang,S3,7374,1552273454673679037-2412082330-18,2024-12-09 00:18:00,2024-12-09 00:18:00,0,,,0,,5,nan,Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart-Bad Cannstatt|Stuttgart Nürnberger Str.|Stuttgart-Sommerrain|Fellbach|Waiblingen|Neustadt-Hohenacker|Schwaikheim|Winnenden|Nellmersbach|Maubach,,,,,,,1552273454673679037-2412082330,18,,Monday,
8000873,Benningen (Neckar),S4,7474,-177803341276164614-2412090002-12,2024-12-09 00:32:00,2024-12-09 00:33:00,1,2024-12-09 00:33:00,2024-12-09 00:33:00,0,1,1,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord|Stuttgart-Feuerbach|Stuttgart-Zuffenhausen|Kornwestheim Pbf|Ludwigsburg|Favoritepark|Freiberg(Neckar),Bauarbeiten,,,,,h,-177803341276164614-2412090002,12,,Monday,Monday
8000873,Benningen (Neckar),S4,7472,-3149719527161341561-2412082332-12,2024-12-09 00:02:00,2024-12-09 00:03:00,1,2024-12-09 00:03:00,2024-12-09 00:03:00,0,1,1,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord|Stuttgart-Feuerbach|Stuttgart-Zuffenhausen|Kornwestheim Pbf|Ludwigsburg|Favoritepark|Freiberg(Neckar),Bauarbeiten,,,,,h,-3149719527161341561-2412082332,12,,Monday,Monday
8000934,Beutelsbach,S2,7281,-8097229136581884814-2412090018-6,2024-12-09 00:30:00,2024-12-09 00:30:00,0,2024-12-09 00:30:00,2024-12-09 00:31:00,1,1,2,nan,Schorndorf|Weiler(Rems)|Winterbach(b Schorndorf)|Geradstetten|Grunbach,Bauarbeiten,,,,,h,-8097229136581884814-2412090018,6,,Monday,Monday
