eva_nr,station_name,line,train_number,ID,planned_arrival,changed_arrival,arrival_delay_m,planned_departure,changed_departure,departure_delay_m,priority,planned_platform,changed_platform_arrival,path,info,arrival_status,departure_status,arrival_path,departure_path,message_status,train_route_id,train_line_number,status_train,arrival_weekday,departure_weekday
8005775,Stuttgart-Untertürkheim Pbf,S1,7170,-1681307597298006387-2412082146-18,2024-12-08 22:34:00,2024-12-08 22:35:00,1,2024-12-08 22:34:00,2024-12-08 22:35:00,1,,6,nan,Herrenberg|Nufringen|Gärtringen|Ehningen(b Böblingen)|Hulb|Böblingen|Goldberg(Württ)|Stuttgart-Rohr|Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart-Bad Cannstatt|Stuttgart Neckarpark,,,,,,,-1681307597298006387-2412082146,18,,Sunday,Sunday
8005775,Stuttgart-Untertürkheim Pbf,S1,7173,-3862696523251175756-2412082220-12,2024-12-08 22:55:00,2024-12-08 22:55:00,0,2024-12-08 22:55:00,2024-12-08 22:56:00,1,,5,nan,Kirchheim(Teck)|Kirchheim(Teck)-Ötlingen|Wendlingen(Neckar)|Wernau(Neckar)|Plochingen|Altbach|Esslingen-Zell|Oberesslingen|Esslingen(Neckar)|Esslingen-Mettingen|Stuttgart-Obertürkheim,,,,,,,-3862696523251175756-2412082220,12,,Sunday,Sunday
8005775,Stuttgart-Untertürkheim Pbf,S1,7168,-8199876978329734252-2412082116-18,2024-12-08 22:04:00,2024-12-08 22:03:00,-1,2024-12-08 22:04:00,2024-12-08 22:03:00,-1,,6,nan,Herrenberg|Nufringen|Gärtringen|Ehningen(b Böblingen)|Hulb|Böblingen|Goldberg(Württ)|Stuttgart-Rohr|Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart-Bad Cannstatt|Stuttgart Neckarpark,,,,,,,-8199876978329734252-2412082116,18,,Sunday,Sunday
8005776,Stuttgart-Vaihingen,S3,7370,5746319644875914367-2412082230-1,,,0,2024-12-08 22:30:00,2024-12-08 22:34:00,4,,nan,nan,,,,,,,,5746319644875914367-2412082230,1,,,Sunday
8005776,Stuttgart-Vaihingen,S1,7171,1733518000541873569-2412082150-21,2024-12-08 22:49:00,2024-12-08 22:49:00,0,2024-12-08 22:50:00,2024-12-08 22:50:00,0,,1,nan,Kirchheim(Teck)|Kirchheim(Teck)-Ötlingen|Wendlingen(Neckar)|Wernau(Neckar)|Plochingen|Altbach|Esslingen-Zell|Oberesslingen|Esslingen(Neckar)|Esslingen-Mettingen|Stuttgart-Obertürkheim|Stuttgart-Untertürkheim|Stuttgart Neckarpark|Stuttgart-Bad Cannstatt|Stuttgart Hbf (tief)|Stuttgart Stadtmitte|Stuttgart Feuersee|Stuttgart Schwabstr.|Stuttgart Universität|Stuttgart-Österfeld,,,,,,,1733518000541873569-2412082150,21,,Sunday,Sunday
8005776,Stuttgart-Vaihingen,S3,7368,2108273426935994626-2412082200-1,,,0,2024-12-08 22:00:00,2024-12-08 22:00:00,0,,nan,nan,,,,,,,,2108273426935994626-2412082200,1,,,Sunday
8005776,Stuttgart-Vaihingen,S3,7371,4129986010683108750-2412082211-16,2024-12-08 22:59:00,2024-12-08 22:59:00,0,,,0,1,2,nan,Backnang|Maubach|Nellmersbach|Winnenden|Schwaikheim|Neustadt-Hohenacker|Waiblingen|Fellbach|Stuttgart-Bad Cannstatt|Stuttgart Hbf (tief)|Stuttgart Stadtmitte|Stuttgart Feuersee|Stuttgart Schwabstr.|Stuttgart Universität|Stuttgart-Österfeld,Bauarbeiten,,,,,h,4129986010683108750-2412082211,16,,Sunday,
8005776,Stuttgart-Vaihingen,S1,7170,-1681307597298006387-2412082146-9,2024-12-08 22:10:00,2024-12-08 22:10:00,0,2024-12-08 22:10:00,2024-12-08 22:11:00,1,,3,nan,Herrenberg|Nufringen|Gärtringen|Ehningen(b Böblingen)|Hulb|Böblingen|Goldberg(Württ)|Stuttgart-Rohr,,,,,,,-1681307597298006387-2412082146,9,,Sunday,Sunday
8005776,Stuttgart-Vaihingen,S1,7169,-1445914617040136913-2412082120-21,2024-12-08 22:19:00,2024-12-08 22:21:00,2,2024-12-08 22:20:00,2024-12-08 22:21:00,1,,1,nan,Kirchheim(Teck)|Kirchheim(Teck)-Ötlingen|Wendlingen(Neckar)|Wernau(Neckar)|Plochingen|Altbach|Esslingen-Zell|Oberesslingen|Esslingen(Neckar)|Esslingen-Mettingen|Stuttgart-Obertürkheim|Stuttgart-Untertürkheim|Stuttgart Neckarpark|Stuttgart-Bad Cannstatt|Stuttgart Hbf (tief)|Stuttgart Stadtmitte|Stuttgart Feuersee|Stuttgart Schwabstr.|Stuttgart Universität|Stuttgart-Österfeld,,,,,,,-1445914617040136913-2412082120,21,,Sunday,Sunday
8005776,Stuttgart-Vaihingen,S2,7269,2890455660221075834-2412082118-19,2024-12-08 22:09:00,2024-12-08 22:09:00,0,2024-12-08 22:10:00,2024-12-08 22:10:00,0,1,2,nan,Schorndorf|Weiler(Rems)|Winterbach(b Schorndorf)|Geradstetten|Grunbach|Beutelsbach|Endersbach|Stetten-Beinstein|Rommelshausen|Waiblingen|Fellbach|Stuttgart-Bad Cannstatt|Stuttgart Hbf (tief)|Stuttgart Stadtmitte|Stuttgart Feuersee|Stuttgart Schwabstr.|Stuttgart Universität|Stuttgart-Österfeld,Bauarbeiten,,,,,h,2890455660221075834-2412082118,19,,Sunday,Sunday
8005776,Stuttgart-Vaihingen,S2,7271,1678705542121602631-2412082148-19,2024-12-08 22:39:00,2024-12-08 22:41:00,2,2024-12-08 22:40:00,2024-12-08 22:41:00,1,1,2,nan,Schorndorf|Weiler(Rems)|Winterbach(b Schorndorf)|Geradstetten|Grunbach|Beutelsbach|Endersbach|Stetten-Beinstein|Rommelshausen|Waiblingen|Fellbach|Stuttgart-Bad Cannstatt|Stuttgart Hbf (tief)|Stuttgart Stadtmitte|Stuttgart Feuersee|Stuttgart Schwabstr.|Stuttgart Universität|Stuttgart-Österfeld,Bauarbeiten,,,,,h,1678705542121602631-2412082148,19,,Sunday,Sunday
8005776,Stuttgart-Vaihingen,S1,7172,-3902948570079765270-2412082216-9,2024-12-08 22:40:00,2024-12-08 22:42:00,2,2024-12-08 22:40:00,2024-12-08 22:42:00,2,,3,nan,Herrenberg|Nufringen|Gärtringen|Ehningen(b Böblingen)|Hulb|Böblingen|Goldberg(Württ)|Stuttgart-Rohr,,,,,,,-3902948570079765270-2412082216,9,,Sunday,Sunday
8005776,Stuttgart-Vaihingen,S2,7268,-2087465560822386211-2412082203-7,2024-12-08 22:20:00,2024-12-08 22:29:00,9,2024-12-08 22:20:00,2024-12-08 22:29:00,9,,3,nan,Filderstadt|Stuttgart Flughafen/Messe|Echterdingen|Leinfelden|Oberaichen|Stuttgart-Rohr,,,,,,,-2087465560822386211-2412082203,7,,Sunday,Sunday
8005776,Stuttgart-Vaihingen,S3,7369,970449513727673732-2412082141-16,2024-12-08 22:29:00,2024-12-08 22:29:00,0,,,0,1,2,nan,Backnang|Maubach|Nellmersbach|Winnenden|Schwaikheim|Neustadt-Hohenacker|Waiblingen|Fellbach|Stuttgart-Bad Cannstatt|Stuttgart Hbf (tief)|Stuttgart Stadtmitte|Stuttgart Feuersee|Stuttgart Schwabstr.|Stuttgart Universität|Stuttgart-Österfeld,Bauarbeiten,,,,,h,970449513727673732-2412082141,16,,Sunday,
